year,type,count
2013,AI legislations,0
2013,Executive orders,26
2014,AI legislations,0
2014,Executive orders,22
2015,AI legislations,0
2015,Executive orders,34
2016,AI legislations,0
2016,Executive orders,24
2017,AI legislations,0
2017,Executive orders,34
2018,AI legislations,0
2018,Executive orders,36
2019,AI legislations,4
2019,Executive orders,26
2020,AI legislations,2
2020,Executive orders,6
2021,AI legislations,7
2021,Executive orders,16
2022,AI legislations,6
2022,Executive orders,20
2023,AI legislations,14
2023,Executive orders,24
2024,AI legislations,25
2024,Executive orders,4
2025,AI legislations,4
2025,Executive orders,0
